name,provider,released,class,architecture,total_params,active_params,total_params_n,active_params_n,attention,modality,context,max_output,license,license_class,open_weights,openness_tier,intelligence_aa,coding_agent_aa,coding_agent_harness,agentic_aa,layers,hidden,heads,head_dim,experts,ffn,activation,norm,vocab,positional,disclosed_tokens,training_flops,tokens_per_param,kv_bytes_per_token_fp16,disclosure_score,disclosure_total,report_url,huggingface
GPT-5.6 Terra,OpenAI,2026/07,Frontier,MoE (reported),—,—,,,Undisclosed,Text + image,1000000,128000,Proprietary,proprietary,false,closed,57,62,Codex,50,,,,,,,,,,,,,,,2,12,https://openai.com/index/gpt-5/,
GPT-5.6 Luna,OpenAI,2026/07,Mid,MoE (reported),—,—,,,Undisclosed,Text + image,1000000,128000,Proprietary,proprietary,false,closed,52,59,Codex,47,,,,,,,,,,,,,,,2,12,https://openai.com/index/gpt-5/,
Grok 4.6,xAI,2026/08,Frontier,Undisclosed,—,—,,,Undisclosed,Text + image,500000,,Proprietary,proprietary,false,closed,61,,,59,,,,,,,,,,,,,,,2,12,https://docs.x.ai/developers/release-notes,
Grok 4.5,xAI,2026/07,Frontier,MoE (reported),—,—,,,Sparse + long-context,Text + image,500000,,Proprietary,proprietary,false,closed,56,64,Grok Build,49,,,,,,,,,,,,,,,3,12,https://x.ai/news,
Muse Spark 1.1,Meta,2026/07,Frontier,Undisclosed,—,—,,,Undisclosed,Text + image + video + audio,1048576,,Proprietary,proprietary,false,closed,53,54,Opencode,40,,,,,,,,,,,,,,,2,12,https://ai.meta.com/blog/introducing-muse-spark-meta-model-api/,
Muse Spark 1.2,Meta,2026/08,Frontier,Undisclosed,—,—,,,Undisclosed,Text + image + video + audio,1048576,,Proprietary,proprietary,false,closed,57,61,tbh,49,,,,,,,,,,,,,,,1,12,,
Qwen3.8 Max,Alibaba,2026/07,Frontier,Sparse MoE,2.4T,95B,2400000000000,95000000000,Gated DeltaNet + gated attn,Text + image + video,1000000,131072,Proprietary (API),proprietary,false,closed,58,57,Claude Code,58,,,,,,,,,,,,,,,6,12,https://qwen.ai/blog?id=qwen3.8,
Qwen3.8 2.4T-A95B,Alibaba,2026/08,Frontier,Sparse MoE,2.4T,95B,2400000000000,95000000000,Gated DeltaNet + gated attn,Text,262144,,Qwen3.8-Max License,other,true,open,58,,,57,92,"8,192",64 Q / 4 KV (GQA 16:1),256,512 routed · 10 active · 1 shared,"2,048 per expert",silu,RMSNorm (ε=1e-6),"248,320",partial RoPE (25% of head dims) θ=10M,,,,,10,12,https://qwen.ai/blog?id=qwen3.8,https://huggingface.co/Qwen/Qwen3.8-2.4T-A95B
Kimi K3,Moonshot,2026/07,Frontier,Sparse MoE,2.8T,104.2B,2800000000000,104200000000,KDA + full attn (69:24 layers),Text + image + video,1048576,131072,Kimi K3 License,conditional,true,open,60,61,Kimi Code CLI,54,93,"7,168",96 Q / 96 KV (MHA),,896 routed,"33,792 dense · 3,072 per expert","situ — as published; not a known activation, and K2.6's config says silu",RMSNorm (ε=1e-5),"163,840",NoPE — no rope_theta in config; the tech report (§3.4) states position is carried implicitly by KDA's recurrent gating and decay,,,,,11,12,https://arxiv.org/abs/2607.24653,https://huggingface.co/moonshotai/Kimi-K3
GLM-5.3,Zhipu,2026/08,Frontier,Sparse MoE,743B,40B,743000000000,40000000000,DSA + MLA (IndexShare),Text + image,1000000,128000,Undisclosed,other,false,closed,,,,,,,,,,,,,,,,,,,5,12,,
GLM-5.2,Zhipu,2026/06,Frontier,Sparse MoE,744B,40B,744000000000,40000000000,DSA + MLA (IndexShare),Text + image,1000000,128000,MIT,permissive,true,open,53,43,Claude Code,46,78,"6,144",64 Q / 64 KV (MHA),192,256 routed · 8 active · 1 shared,"12,288 dense · 2,048 per expert",silu,RMSNorm (ε=1e-5),"154,880",RoPE θ=8M; MLA head split 64 RoPE / 192 NoPE dims,,,,,9,12,https://huggingface.co/zai-org,https://huggingface.co/zai-org/GLM-5.2
Solar Open 2,Upstage,2026/07,Frontier,Sparse MoE,250B,15B,250000000000,15000000000,Hybrid linear + full,Text,1000000,,Upstage Solar License,other,true,open,,,,,,,,,,,,,,,,,,,5,12,,https://huggingface.co/upstage/Solar-Open2-250B
Inkling,Thinking Machines,2026/07,Frontier,Sparse MoE,975B,41B,975000000000,41000000000,Undisclosed,Text + image + audio,1000000,,Apache 2.0,permissive,true,open,42,,,34,66,"6,144",64 Q / 8 KV (GQA 8:1),128,256 routed · 6 active · 2 shared,"3,072",,RMSNorm (ε=1e-6),"201,024",,,,,270336,7,12,https://thinkingmachines.ai/model-card/inkling/,https://huggingface.co/thinkingmachines/inkling
Motif 3 Beta,Motif Technologies,2026/07,Frontier,Sparse MoE,~314B,~13B,314000000000,13000000000,GDLA (Grouped Differential Latent Attn),Text,262144,,Motif non-commercial,other,true,open,45,,,,53,"4,096",80 Q (64 signal / 16 noise) / 16 KV,192,384 routed · 8 active · 1 shared,"12,288 dense · 1,280 per expert",poly_norm,RMSNorm (ε=1e-5),"220,160",RoPE θ=10K; MLA head split 64 RoPE / 128 NoPE dims; a yarn ×64 block is declared but apply_yarn_scaling is false,,,,651264,9,12,https://huggingface.co/Motif-Technologies/Motif-3-Beta,https://huggingface.co/Motif-Technologies/Motif-3-Beta
Laguna S 2.1,Poolside,2026/07,Mid,Sparse MoE,118B,8B,118000000000,8000000000,Sliding-window + global,Text,1048576,,OpenMDW-1.1,conditional,true,open,,,,,48,"3,072",48 Q / 8 KV (GQA 6:1),128,256 routed · 10 active,"12,288 dense · 1,024 per expert",,RMSNorm (ε=1e-6),"100,352",full attention: partial RoPE (50% of head dims) θ=500K + yarn ×128 · sliding-window: RoPE θ=10K,30000000000000,1.44e+24,254.23728813559322,196608,11,12,https://poolside.ai/blog/introducing-laguna-s-2-1,https://huggingface.co/poolside/Laguna-S-2.1
Laguna XS 2.1,Poolside,2026/07,SLM,Sparse MoE,33B,3B,33000000000,3000000000,Sliding-window + global,Text,,,OpenMDW-1.1,conditional,true,open,,,,,40,"2,048",48 Q / 8 KV (GQA 6:1),128,256 routed · 8 active,"8,192 dense · 512 per expert",,RMSNorm (ε=1e-6),"100,352",full attention: partial RoPE (50% of head dims) θ=500K + yarn ×32 · sliding-window: RoPE θ=10K,,,,163840,8,12,https://build.nvidia.com/poolside/laguna-xs-2.1/modelcard,https://huggingface.co/poolside/Laguna-XS-2.1
Fable 5,Anthropic,2026/06,Frontier,Undisclosed,—,—,,,Undisclosed,Text + image,1000000,128000,Proprietary,proprietary,false,closed,62,66,Claude Code,57,,,,,,,,,,,,,,,2,12,https://www.anthropic.com/claude,
Opus 4.8,Anthropic,2026/05,Frontier,Undisclosed,—,—,,,Undisclosed,Text + image,1000000,64000,Proprietary,proprietary,false,closed,57,61,Claude Code,49,,,,,,,,,,,,,,,2,12,https://www.anthropic.com/claude,
Sonnet 4.6,Anthropic,2026/02,Frontier,Undisclosed,—,—,,,Undisclosed,Text + image,1000000,64000,Proprietary,proprietary,false,closed,48,38,Claude Code,42,,,,,,,,,,,,,,,2,12,https://www.anthropic.com/claude,
Haiku 4.5,Anthropic,2025/10,Mid,Undisclosed,—,—,,,Undisclosed,Text + image,200000,64000,Proprietary,proprietary,false,closed,30,,,16,,,,,,,,,,,,,,,2,12,https://www.anthropic.com/claude,
GPT-5.5,OpenAI,2026/04,Frontier,MoE (reported),—,—,,,Undisclosed,Text + image + audio,922000,128000,Proprietary,proprietary,false,closed,56,61,Codex,47,,,,,,,,,,,,,,,2,12,https://openai.com/index/gpt-5/,
GPT-5 mini,OpenAI,2025/08,Mid,MoE (reported),—,—,,,Undisclosed,Text + image,400000,64000,Proprietary,proprietary,false,closed,32,,,20,,,,,,,,,,,,,,,2,12,https://openai.com/index/gpt-5/,
Gemini 3.1 Pro,Google,2026/02,Frontier,MoE (reported),—,—,,,Sparse + long-context,Text + image + video + audio,1000000,64000,Proprietary,proprietary,false,closed,48,30,Gemini CLI,23,,,,,,,,,,,,,,,3,12,https://deepmind.google/models/gemini/,
Gemini 3.7 Flash,Google,2026/08,Mid,MoE (reported),—,—,,,Sparse + long-context,Text + image + video + audio,1000000,64000,Proprietary,proprietary,false,closed,56,57,Opencode,45,,,,,,,,,,,,,,,3,12,https://deepmind.google/models/model-cards/gemini-3-7-flash/,
Gemini 3.6 Flash,Google,2026/07,Mid,MoE (reported),—,—,,,Sparse + long-context,Text + image + video + audio,1000000,64000,Proprietary,proprietary,false,closed,52,46,Opencode,41,,,,,,,,,,,,,,,3,12,https://deepmind.google/models/model-cards/gemini-3-6-flash/,
Gemini 3.5 Flash,Google,2026/05,Mid,MoE (reported),—,—,,,Sparse + long-context,Text + image + audio,1000000,64000,Proprietary,proprietary,false,closed,52,,,40,,,,,,,,,,,,,,,3,12,https://deepmind.google/models/gemini/,
Grok 4.3,xAI,2026/04,Frontier,MoE (reported),—,—,,,Sparse + long-context,Text + image,1000000,64000,Proprietary,proprietary,false,closed,38,,,24,,,,,,,,,,,,,,,3,12,https://x.ai/news,
DeepSeek V4 Pro,DeepSeek,2026/04,Frontier,Sparse MoE,1.6T,49B,1600000000000,49000000000,Hybrid: CSA + HCA,Text + image + video + audio,1048576,384000,MIT,permissive,true,open,53,31,Claude Code,50,61,"7,168",128 Q / 1 KV (GQA 128:1),512,384 routed · 6 active · 1 shared,"3,072 per expert",silu,RMSNorm (ε=1e-6),"129,280",RoPE θ=10K + yarn ×16; 64 RoPE dims per head (MLA),32000000000000,9.408e+24,20,124928,11,12,https://arxiv.org/abs/2606.19348,https://huggingface.co/deepseek-ai/DeepSeek-V4-Pro
DeepSeek V4 Flash,DeepSeek,2026/04,Mid,Sparse MoE,284B,13B,284000000000,13000000000,Hybrid: CSA + HCA,Text + image,1048576,128000,MIT,permissive,true,open,52,55,Codex,48,43,"4,096",64 Q / 1 KV (GQA 64:1),512,256 routed · 6 active · 1 shared,"2,048 per expert",silu,RMSNorm (ε=1e-6),"129,280",RoPE θ=10K + yarn ×16; 64 RoPE dims per head (MLA),32000000000000,2.496e+24,112.67605633802818,88064,11,12,https://arxiv.org/abs/2606.19348,https://huggingface.co/deepseek-ai/DeepSeek-V4-Flash
Qwen3.5-Plus,Alibaba,2026/02,Frontier,Sparse MoE,397B,17B,397000000000,17000000000,Gated DeltaNet + gated attn,Text + image + video,262144,64000,Apache 2.0,permissive,true,open,34,,,20,60,"4,096",32 Q / 2 KV (GQA 16:1),256,512 routed · 10 active,"1,024 per expert",silu,RMSNorm (ε=1e-6),"248,320",partial RoPE (25% of head dims) θ=10M,,,,,11,12,https://qwen.ai/blog?id=qwen3.5,https://huggingface.co/Qwen/Qwen3.5-397B-A17B
Qwen3.6 Plus,Alibaba,2026/03,Frontier,MoE (reported),—,—,,,Gated DeltaNet + gated attn,Text + image,1000000,65536,Proprietary (API),proprietary,false,closed,40,,,29,,,,,,,,,,,,,,,4,12,https://huggingface.co/Qwen,
Qwen3.7 Max,Alibaba,2026/05,Frontier,MoE (reported),—,—,,,Gated DeltaNet + gated attn,Text,1000000,65536,Proprietary (API),proprietary,false,closed,47,,,31,,,,,,,,,,,,,,,4,12,https://qwen.ai/blog,
Qwen3.7 Plus,Alibaba,2026/05,Mid,MoE (reported),—,—,,,Gated DeltaNet + gated attn,Text + image,1000000,65536,Proprietary (API),proprietary,false,closed,39,36,Claude Code,21,,,,,,,,,,,,,,,4,12,https://qwen.ai/blog,
MiniMax M3,MiniMax,2026/06,Frontier,Sparse MoE,428B,—,428000000000,,MSA sparse attention,Text + image + video,1000000,64000,Proprietary,proprietary,false,closed,45,,,36,,,,,,,,,,,,,,,5,12,https://huggingface.co/MiniMaxAI,
Llama 4 Scout,Meta,2025/04,Mid,Sparse MoE,109B,17B,109000000000,17000000000,iRoPE (interleaved RoPE/NoPE),Text + image,10000000,32000,Llama 4 Community,community,true,restricted,10,,,1,,,,,,,,,,,40000000000000,4.08e+24,366.9724770642202,,8,12,https://huggingface.co/meta-llama/Llama-4-Scout-17B-16E,https://huggingface.co/meta-llama/Llama-4-Scout-17B-16E
Mistral Large 3,Mistral,2025/12,Frontier,Sparse MoE,673B,41B,673000000000,41000000000,MLA (Multi-head Latent Attn),Text + image,262144,64000,Apache 2.0,permissive,true,open,16,,,6,,,,,,,,,,,,,,,6,12,https://docs.mistral.ai/models/mistral-large-3-25-12,https://huggingface.co/mistralai/Mistral-Large-3
GLM-5,Zhipu,2026/02,Frontier,Sparse MoE,744B,40B,744000000000,40000000000,MLA + DeepSeek Sparse Attn,Text + image,202752,32000,MIT,permissive,true,open,41,,,,78,"6,144",64 Q / 64 KV (MHA),64,256 routed · 8 active · 1 shared,"12,288 dense · 2,048 per expert",silu,RMSNorm (ε=1e-5),"154,880",RoPE θ=1M; MLA head split 64 RoPE / 192 NoPE dims,28570000000000,6.8568e+24,38.4005376344086,,12,12,https://huggingface.co/zai-org,https://huggingface.co/zai-org/GLM-5
Command A,Cohere,2025/03,Mid,Dense,111B,111B,111000000000,111000000000,Grouped-query attention,Text,256000,32000,CC-BY-NC,other,true,open,7,,,,,,,,,,,,,,,,,,7,12,https://huggingface.co/CohereLabs/c4ai-command-a-03-2025,https://huggingface.co/CohereLabs/c4ai-command-a-03-2025
Nemotron 3 Ultra,NVIDIA,2026/06,Frontier,Sparse MoE,550B,55B,550000000000,55000000000,Mamba-2 SSM + GQA attn,Text,262144,32000,NVIDIA Nemotron Open Model License,other,true,open,38,,,27,,"8,192",64 Q / 2 KV (GQA 32:1),128,512 routed · 22 active · 1 shared,"5,120",,,"131,072",RoPE θ=10K,20000000000000,6.6e+24,36.36363636363637,,11,12,https://research.nvidia.com/labs/nemotron/files/NVIDIA-Nemotron-3-Ultra-Technical-Report.pdf,https://huggingface.co/nvidia/NVIDIA-Nemotron-3-Ultra-550B-A55B-BF16
Nemotron 3 Super,NVIDIA,2026/03,Mid,Sparse MoE,120B,12B,120000000000,12000000000,Mamba-2 SSM + GQA attn,Text,1000000,32000,NVIDIA Nemotron Open Model License,other,true,open,26,,,9,88,"4,096",32 Q / 2 KV (GQA 16:1),128,512 routed · 22 active · 1 shared,"2,688",,,"131,072",RoPE θ=10K,25000000000000,1.8e+24,208.33333333333334,,11,12,https://research.nvidia.com/labs/nemotron/files/NVIDIA-Nemotron-3-White-Paper.pdf,https://huggingface.co/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B-BF16
Muse Glimmer,Meta,2026/08,SLM,Dense,30B,30B,30000000000,30000000000,Sliding-window + global,Text + image,131072,,Apache 2.0,permissive,true,open,35,,,23,,,,,,,,,,,,,,,6,12,https://research.meta.ai/blog/introducing-muse-glimmer-open-agentic-model,https://huggingface.co/meta-models/Muse-Glimmer-30B
Gemma 4 (31B),Google,2026/04,SLM,Dense,30.7B,30.7B,30700000000,30700000000,Sliding-window + global,Text + image + video,256000,8192,Apache 2.0,permissive,true,open,30,,,14,60,"5,376",32 Q / 16 KV (GQA 2:1),256,,"21,504",gelu_pytorch_tanh,RMSNorm (ε=1e-6),"262,144",full attention: partial RoPE (25% of head dims) θ=1M + proportional · sliding-window: RoPE θ=10K,,,,983040,10,12,https://arxiv.org/abs/2503.19786,https://huggingface.co/google/gemma-4-31b
Gemma 4 E4B,Google,2026/04,SLM,Dense,8B (4.5B eff.),8B (4.5B eff.),8000000000,8000000000,Sliding-window + global,Text + image + video + audio,128000,8192,Apache 2.0,permissive,true,open,12,,,,42,"2,560",8 Q / 2 KV (GQA 4:1),256,,"10,240",gelu_pytorch_tanh,RMSNorm (ε=1e-6),"262,144",full attention: partial RoPE (25% of head dims) θ=1M + proportional · sliding-window: RoPE θ=10K,,,,86016,10,12,https://arxiv.org/abs/2503.19786,https://huggingface.co/google/gemma-4-e4b
Gemma 3 4B,Google,2025/03,SLM,Dense,4B,4B,4000000000,4000000000,Sliding-window + global,Text + image,128000,8192,Gemma,other,true,open,1,,,,,,,,,,,,,,4000000000000,9.6e+22,1000,,8,12,https://arxiv.org/abs/2503.19786,https://huggingface.co/google/gemma-3-4b-it
FunctionGemma 270M,Google,2026/04,SLM,Dense,0.27B,0.27B,270000000,270000000,Sliding-window + global,Text,32000,4096,Gemma,other,true,open,,,,,,,,,,,,,,,,,,,7,12,https://ai.google.dev/gemma,https://huggingface.co/google/functiongemma-270m-it
Phi-4-mini,Microsoft,2025/02,SLM,Dense,3.8B,3.8B,3800000000,3800000000,Grouped-query attention,Text,128000,16000,MIT,permissive,true,open,6,,,,32,"3,072",24 Q / 8 KV (GQA 3:1),,,"8,192",silu,RMSNorm (ε=1e-5),"200,064",partial RoPE (75% of head dims) θ=10K + longrope,,,,131072,10,12,https://arxiv.org/abs/2503.01743,https://huggingface.co/microsoft/Phi-4-mini-instruct
Fara 1.5 27B,Microsoft,2026/05,SLM,Dense,27B,27B,27000000000,27000000000,Gated DeltaNet + gated attn,Text + image,262144,,MIT,permissive,true,open,,,,,64,"5,120",24 Q / 4 KV (GQA 6:1),256,,"17,408",silu,RMSNorm (ε=1e-6),"248,320","partial RoPE (25% of head dims) θ=10M; interleaved MRoPE, sections 11/11/10",,,,,10,12,https://arxiv.org/abs/2606.20785,https://huggingface.co/microsoft/Fara1.5-27B
Fara 1.5 4B,Microsoft,2026/05,SLM,Dense,4B,4B,4000000000,4000000000,Gated DeltaNet + gated attn,Text + image,262144,,MIT,permissive,true,open,,,,,32,"2,560",16 Q / 4 KV (GQA 4:1),256,,"9,216",silu,RMSNorm (ε=1e-6),"248,320","partial RoPE (25% of head dims) θ=10M; interleaved MRoPE, sections 11/11/10",,,,,10,12,https://arxiv.org/abs/2606.20785,https://huggingface.co/microsoft/Fara1.5-4B
Qwen3.5 (9B),Alibaba,2026/02,SLM,Dense,9B,9B,9000000000,9000000000,Gated DeltaNet + gated attn,Text + image + video,262144,16000,Apache 2.0,permissive,true,open,22,,,7,32,"4,096",16 Q / 4 KV (GQA 4:1),256,,"12,288",silu,RMSNorm (ε=1e-6),"248,320",partial RoPE (25% of head dims) θ=10M,,,,,10,12,https://qwen.ai/blog?id=qwen3.5,https://huggingface.co/Qwen/Qwen3.5-9B
Qwen3.5 (0.8B),Alibaba,2026/02,SLM,Dense,0.8B,0.8B,800000000,800000000,Gated DeltaNet + gated attn,Text + image + video,262144,8192,Apache 2.0,permissive,true,open,5,,,,24,"1,024",8 Q / 2 KV (GQA 4:1),256,,"3,584",silu,RMSNorm (ε=1e-6),"248,320",partial RoPE (25% of head dims) θ=10M,,,,,10,12,https://qwen.ai/blog?id=qwen3.5,https://huggingface.co/Qwen/Qwen3.5-0.8B
Qwen3.8 (27B),Alibaba,2026/08,SLM,Dense,27B,27B,27000000000,27000000000,Gated DeltaNet + gated attn,Text + image + video,262144,,Apache 2.0,permissive,true,open,,,,,64,"5,120",24 Q / 4 KV (GQA 6:1),256,,"17,408",silu,RMSNorm (ε=1e-6),"248,320","partial RoPE (25% of head dims) θ=10M; interleaved MRoPE, sections 11/11/10",,,,,10,12,https://qwen.ai/blog?id=qwen3.8,https://huggingface.co/Qwen/Qwen3.8-27B
Qwen3.6 (27B),Alibaba,2026/04,SLM,Dense,27B,27B,27000000000,27000000000,Gated DeltaNet + gated attn,Text + image + video,262144,65536,Apache 2.0,permissive,true,open,38,,,28,64,"5,120",24 Q / 4 KV (GQA 6:1),256,,"17,408",silu,RMSNorm (ε=1e-6),"248,320",partial RoPE (25% of head dims) θ=10M,,,,,10,12,https://huggingface.co/Qwen/Qwen3.6-27B,https://huggingface.co/Qwen/Qwen3.6-27B
Qwen3.6 35B-A3B,Alibaba,2026/04,SLM,Sparse MoE,35B,3B,35000000000,3000000000,Gated DeltaNet + gated attn,Text + image + video,262144,32000,Apache 2.0,permissive,true,open,32,,,22,40,"2,048",16 Q / 2 KV (GQA 8:1),256,256 routed · 8 active,512 per expert,silu,RMSNorm (ε=1e-6),"248,320",partial RoPE (25% of head dims) θ=10M,,,,,10,12,https://huggingface.co/Qwen,https://huggingface.co/Qwen/Qwen3.6-35B-A3B
Llama 3.2 3B,Meta,2024/09,SLM,Dense,3B,3B,3000000000,3000000000,Grouped-query attention,Text,128000,8192,Llama 3.2 Community,community,true,restricted,4,,,,,,,,,,,,,,9000000000000,1.62e+23,3000,,8,12,https://huggingface.co/meta-llama/Llama-3.2-3B,https://huggingface.co/meta-llama/Llama-3.2-3B-Instruct
Llama 3.2 1B,Meta,2024/09,SLM,Dense,1B,1B,1000000000,1000000000,Grouped-query attention,Text,128000,8192,Llama 3.2 Community,community,true,restricted,1,,,,,,,,,,,,,,9000000000000,5.4e+22,9000,,8,12,https://huggingface.co/meta-llama/Llama-3.2-1B,https://huggingface.co/meta-llama/Llama-3.2-1B
Mistral Small 4,Mistral,2026/03,SLM,Sparse MoE,119B,6.63B,119000000000,6630000000,MLA (Multi-head Latent Attn),Text + image,256000,16000,Apache 2.0,permissive,true,open,20,,,5,36,"4,096",32 Q / 32 KV (MHA),128,128 routed · 4 active · 1 shared,"12,288 dense · 2,048 per expert",silu,RMSNorm (ε=1e-6),"131,072",RoPE θ=10K + yarn ×128; MLA head split 64 RoPE / 64 NoPE dims,,,,,9,12,https://docs.mistral.ai/models/,https://huggingface.co/mistralai/Mistral-Small-4-119B-2603
Leanstral 1.5,Mistral,2026/07,SLM,Sparse MoE,119B,6.5B,119000000000,6500000000,MLA (Multi-head Latent Attn),Text + image,256000,,Apache 2.0,permissive,true,open,,,,,36,"4,096",32 Q / 32 KV (MHA),128,128 routed · 4 active · 1 shared,"12,288 dense · 2,048 per expert",,RMSNorm (ε=1e-6),"131,072",RoPE θ=10K + yarn ×128; MLA head split 64 RoPE / 64 NoPE dims,,,,,9,12,https://huggingface.co/mistralai/Leanstral-1.5-119B-A6B,https://huggingface.co/mistralai/Leanstral-1.5-119B-A6B
SmolLM3-3B,Hugging Face,2025/06,SLM,Dense,3B,3B,3000000000,3000000000,GQA + periodic NoPE,Text,131072,8192,Apache 2.0,permissive,true,open,,,,,36,"2,048",16 Q / 4 KV (GQA 4:1),,,"11,008",silu,RMSNorm (ε=1e-6),"128,256",RoPE θ=5M; NoPE on 9 of 36 layers (every 4th),11237500000000,2.02275e+23,3745.8333333333335,73728,11,12,https://huggingface.co/blog/smollm3,https://huggingface.co/HuggingFaceTB/SmolLM3-3B
Granite SWASH 2B,IBM,2026/07,SLM,Dense,2.14B,2.14B,2140000000.0000002,2140000000.0000002,Sliding-window + attention sinks,Text,8192,,Apache 2.0,permissive,true,open,,,,,24,"2,560",20 Q / 4 KV (GQA 5:1),,,"8,192",silu,RMSNorm (ε=1e-5),"100,352",RoPE θ=10K,,,,49152,9,12,https://huggingface.co/ibm-granite/granite-swash-2b,https://huggingface.co/ibm-granite/granite-swash-2b
Granite SWASH 3B-A600M,IBM,2026/07,SLM,Sparse MoE,3.02B,0.6B,3020000000,600000000,Sliding-window + attention sinks,Text,8192,,Apache 2.0,permissive,true,open,,,,,28,"1,280",20 Q / 4 KV (GQA 5:1),,48 routed · 4 active · 1 shared,"512 per expert · 1,280 shared",silu,RMSNorm (ε=1e-5),"100,352",RoPE θ=10K,,,,28672,9,12,https://huggingface.co/ibm-granite/granite-swash-3b-a600m,https://huggingface.co/ibm-granite/granite-swash-3b-a600m
